LexToken(FOR,'for',113,2527)
LexToken(LPAREN,'(',113,2531)
LexToken(INT_TYPE,'int',113,2532)
LexToken(IDENTIFIER,'i',113,2536)
LexToken(ASSIGN,'=',113,2538)
LexToken(INTEGER_LITERAL,0,113,2540)
LexToken(SEMICOLON,';',113,2541)
LexToken(IDENTIFIER,'i',113,2543)
LexToken(LESS_THAN,'<',113,2545)
LexToken(INTEGER_LITERAL,2,113,2547)
LexToken(SEMICOLON,';',113,2548)
LexToken(IDENTIFIER,'i',113,2550)
LexToken(INCREMENT,'++',113,2551)
LexToken(RPAREN,')',113,2553)
LexToken(LLLAVE,'{',113,2555)
LexToken(PRINT,'print',114,2565)
LexToken(LPAREN,'(',114,2570)
LexToken(IDENTIFIER,'materias',114,2571)
LexToken(LCORCHETE,'[',114,2579)
LexToken(IDENTIFIER,'i',114,2580)
LexToken(RCORCHETE,']',114,2581)
LexToken(RPAREN,')',114,2582)
LexToken(SEMICOLON,';',114,2583)
LexToken(RLLAVE,'}',115,2589)
LexToken(IF,'if',118,2597)
LexToken(LPAREN,'(',118,2600)
LexToken(IDENTIFIER,'estudianteActivo',119,2610)
LexToken(AND,'&&',120,2635)
LexToken(IDENTIFIER,'asistencias',120,2638)
LexToken(LCORCHETE,'[',120,2649)
LexToken(STRING_LITERAL,'"Lenguajes de Programacion"',120,2650)
LexToken(RCORCHETE,']',120,2677)
LexToken(GREATER_EQUAL,'>=',120,2679)
LexToken(INTEGER_LITERAL,80,120,2682)
LexToken(RPAREN,')',121,2689)
LexToken(LLLAVE,'{',121,2691)
LexToken(PRINT,'print',122,2701)
LexToken(LPAREN,'(',122,2706)
LexToken(STRING_LITERAL,'"Estudiante habilitado en $ciudad"',122,2707)
LexToken(RPAREN,')',122,2741)
LexToken(SEMICOLON,';',122,2742)
LexToken(PRINT,'print',123,2752)
LexToken(LPAREN,'(',123,2757)
LexToken(STRING_LITERAL,'"Bienvenido, $nombre"',123,2758)
LexToken(RPAREN,')',123,2779)
LexToken(SEMICOLON,';',123,2780)
LexToken(RLLAVE,'}',124,2786)
LexToken(ELSE,'else',124,2788)
LexToken(LLLAVE,'{',124,2793)
LexToken(PRINT,'print',125,2803)
LexToken(LPAREN,'(',125,2808)
LexToken(STRING_LITERAL,'"Estudiante no habilitado"',125,2809)
LexToken(RPAREN,')',125,2835)
LexToken(SEMICOLON,';',125,2836)
LexToken(RLLAVE,'}',126,2842)
LexToken(RLLAVE,'}',127,2844)
